15     3       1851   74        0         61
19     8       1851   231       157       35
20     12      1851   354       123       52
22     12      1851   356       2         13
24     4       1852   115       124       12
6      5       1852   127       12        22
10     5       1852   131       4         65
20     5       1852   141       10        36
22     12      1852   357       216       10
12     3       1853   71        80        10
24     3       1853   83        12        58
26     4       1853   116       33        11
1      7       1853   182       66        20
18     2       1854   49        232       89
24     5       1856   145       826       12
3      7       1856   185       40        11
15     7       1856   197       12        114
13     8       1856   226       29        11
19     2       1857   50        190       189
27     5       1857   147       97        13
31     7       1857   212       65        40
2      2       1858   33        186       53
25     2       1858   56        23        19
28     5       1858   148       92        12
11     12      1858   345       197       25
15     2       1860   46        431       13
2      3       1860   62        16        76
3      8       1860   216       154       13
6      11      1860   311       95        12
1      12      1860   336       25        142
20     12      1860   355       19        22
8      3       1861   67        78        13
26     9       1861   269       202       10
1      11      1861   305       36        13
19     2       1862   50        110       47
22     11      1862   326       276       16
8      12      1862   342       16        59
6      3       1863   65        88        26
17     10      1863   290       225       39
9      12      1863   343       53        13
26     12      1863   360       17        15
16     6       1865   167       538       26
20     12      1865   354       187       34
23     1       1866   23        34        30
4      5       1866   124       101       12
14     6       1866   165       41        38
31     10      1866   304       139       24
12     12      1866   346       42        361
13     12      1866   347       1         91
20     8       1867   232       250       14
8      11      1867   312       80        178
11     11      1867   315       3         12
30     9       1868   274       324       10
25     11      1868   330       56        62
26     12      1868   361       31        26
1      4       1869   91        96        37
10     6       1869   161       70        53
21     7       1869   202       41        59
22     10      1869   295       93        11
15     11      1869   319       24        27
14     2       1870   45        91        30
7      7       1870   188       143       19
23     7       1870   204       16        19
19     8       1870   231       27        20
10     1       1871   10        144       26
24     2       1871   55        45        38
2      3       1871   61        6         19
26     9       1871   269       208       70
25     10      1871   298       29        26
14     2       1872   45        112       11
28     3       1872   88        43        27
7      10      1872   281       193       34
18     2       1873   49        134       18
14     4       1874   104       420       54
18     7       1874   199       95        15
20     11      1874   324       125       23
24     12      1874   358       34        17
30     4       1875   120       127       43
4      12      1875   338       218       23
6      12      1875   340       2         143
6      12      1875   340       0         16
18     12      1876   353       378       23
23     1       1877   23        36        18
7      2       1877   38        15        10
10     3       1877   69        31        18
11     10      1877   284       215       36
22     10      1877   295       11        207
8      3       1878   67        137       17
12     3       1878   71        4         43
27     3       1878   86        15        23
7      6       1878   158       72        189
11     9       1878   254       96        268
13     1       1879   13        124       63
4      3       1879   63        50        21
2      7       1879   183       120       28
21     1       1880   21        203       62
15     7       1880   197       176       120
8      9       1880   252       55        164
10     12      1880   345       93        101
7      2       1881   38        59        25
19     12      1881   353       315       48
16     2       1882   47        59        74
18     4       1882   108       61        37
19     4       1882   109       1         13
2      5       1882   122       13        32
7      11      1882   311       189       45
18     10      1883   291       345       20
7      11      1883   311       20        68
27     1       1884   27        81        14
8      11      1884   313       286       14
2      3       1885   61        114       42
18     6       1885   169       108       178
23     12      1885   357       188       81
13     8       1886   225       233       38
10     9       1886   253       28        10
2      10      1886   275       22        22
2      12      1886   336       61        28
18     2       1887   49        78        39
28     5       1887   148       99        73
18     4       1888   109       326       30
18     1       1889   18        275       23
13     3       1889   72        54        20
16     10      1889   289       217       64
6      2       1890   37        113       176
10     3       1890   69        32        87
2      4       1891   92        288       10
31     8       1891   243       151       10
26     8       1892   239       361       112
4      7       1893   185       312       139
23     6       1894   174       354       290
26     4       1895   116       307       13
26     1       1896   26        275       57
13     4       1896   104       78        20
30     4       1896   121       17        63
18     8       1899   230       1205      19
24     5       1901   144       644       81
3      9       1902   246       467       16
21     1       1905   21        871       11
10     3       1905   69        48        33
11     7       1905   192       123       119
10     10      1906   283       456       25
20     2       1908   51        498       14
9      4       1908   100       49        10
18     8       1908   231       131       75
16     2       1909   47        182       168
29     10      1909   302       255       27
11     5       1910   131       194       136
21     12      1910   355       224       344
9      7       1912   191       566       88
14     10      1913   287       462       439
30     5       1914   150       228       12
13     8       1916   226       806       13
12     1       1918   12        517       155

